standard_form,dialect_form
이 버스가 한꺼번에 막 주루룩 들어오잖아요 그러니까 이게 사람이 눈은 저길 보고 있는데 손은 막 막 이렇게 적고 적어요 근데,이 버스가 한꺼번에 막 주루룩 들어오잖아요 그니까 이게 사람이 눈은 저길 보고 있는데 손은 막 막 이렇게 적고 적어요 근데
이렇게 돼 빠 조금 빨리빨리 적게 되더라고요 그러면서 또 버스가 올 때 또,이렇게 돼 빠 쫌 빨리빨리 적게 되더라고요 그러면서 또 버스가 올 때 또
조금 낯익은 번호가 들어오고 또 기사님들 얼굴 가끔씩 눈에 익어요 또 어느 순간 보니까,쫌 낯익은 번호가 들어오고 또 기사님들 얼굴 가끔씩 눈에 익어요 또 어느 순간 보니까
조금 저만의 조금 그런 것도 조금 있고 조금 재밌더라고요 나름,쫌 저만의 쫌 그런 것도 쫌 있고 쫌 재밌더라고요 나름
그리고 그게 조금 재밌었던 거 같애요,그리고 그게 쫌 재밌었던 거 같애요
하필 국내 여행에 조금 초점을 맞춰서 하는 여행사였거든요?,하필 국내 여행에 쫌 초점을 맞춰서 하는 여행사였거든요?
거기에 마카롱 뭐 모양들이 조금 특이한 그런 거를 조금 팔았나요 거기 일하셨던 곳에서?,거기에 마카롱 뭐 모양들이 쫌 특이한 그런 거를 쫌 팔았나요 거기 일하셨던 곳에서?
그다음에 저희 가게에는 그냥,그담에 저희 가게에는 그냥
조금 달잖아요 그래서 매일 먹는 게 쪼끔 힘들었었던 거 같애요,쫌 달잖아요 그래서 매일 먹는 게 쪼끔 힘들었었던 거 같애요
코로나가 터져서 이제 해외여행을 당분간 못 가게 된다고 생각하니까 조금 슬프긴 한데,코로나가 터져서 이제 해외여행을 당분간 못 가게 된다고 생각하니까 쫌 슬프긴 한데
그리고 딴 거보다도 뭐 너나 그,그리고 딴 거보다도 뭐 니나 그
어 뭐 나뿐만 아니라 너희도 다 같이 설레 가지고 막 그랬었는데,어 뭐 내뿐만 아니라 너희도 다 같이 설레 가지고 막 그랬었는데
대만 편의점은 약간 들어가자마자 조금 충격적인 냄새가 나더라고 그래서,대만 편의점은 약간 들어가자마자 쫌 충격적인 냄새가 나더라고 그래서
근데 특히 우리 다 힘들어했는데 네가 특히 유독 힘들어했고,근데 특히 우리 다 힘들어했는데 니가 특히 유독 힘들어했고
좋을 리가 없는 우리보다 그러니까 놀이 공원 시설이 막 좋고 화려할 리가 없는데 굳이 대만까지 와서,좋을 리가 없는 우리보다 그니까 놀이 공원 시설이 막 좋고 화려할 리가 없는데 굳이 대만까지 와서
놀이 공원을 왜 가냐고 막 우리가 뭐라 그랬잖아 근데 막상 가 보니까,놀이 공원을 왜 가냐고 막 우리가 뭐라 켔잖아 근데 막상 가 보니까
가서 노니까 뭐 약간 뭐라고 하지 낙후된 시설만의 또 그런 유원지스러움이,가서 노니까 뭐 약간 뭐라카지 낙후된 시설만의 또 그런 유원지스러움이
근데 거기가  너무 본토의 그런 훠궈 맛집인데 내가 너무 시작부터 센 거를 해 갖고,근데 거기가  너무 본토의 그런 훠궈 맛집인데 내가 너무 시작부터 쎈 거를 해 갖고
아 약간 조금 먹기 힘들었고 근데 우리 세 명 우리 셋은 다 힘들었는데 이제 중국에 살고 있는 은,아 약간 쫌 먹기 힘들었고 근데 우리 세 명 우리 셋은 다 힘들었는데 이제 중국에 살고 있는 은
근데 솔직히 한 번 더 가라 그러면 약간 망설여질 거 같고,근데 솔직히 한 번 더 가라 카면 약간 망설여질 거 같고
언젠가 이제 코로나 조금 괜찮아지면 꼭 같이 다 같이 태국 가면 좋겠고,언젠가 이제 코로나 쫌 괜찮아지면 꼭 같이 다 같이 태국 가면 좋겠고
혹시 너는 뭐 개인적으로 가 보고 싶은 여행지나 그런 게 있어?,혹시 니는 뭐 개인적으로 가 보고 싶은 여행지나 그런 게 있나?
뭐 얘기를 하면 그때가 우리가 조금 어렸잖아 그래서 지금보다는 체력이 조금 좋았을 때라서,뭐 얘기를 하면 그때가 우리가 쫌 어렸잖아 그래서 지금보다는 체력이 쫌 좋았을 때라서
학생이었으니까 조금 가성비를 따지다가 우리가 처음에,학생이었으니까 쫌 가성비를 따지다가 우리가 처음에
웃기고 지금이면은 차라리 돈을 조금 더 주고 돈이 없더라도 돈을 조금 더 주고,웃기고 지금이면은 차라리 돈을 쫌 더 주고 돈이 없더라도 돈을 쫌 더 주고
다른 어 다른 델 가서 자 잠을 조금 더 자지,다른 어 다른 델 가서 자 잠을 쫌 더 자지
이제 조금 이제 놀자 할려고 하던 시기에 그런 일이 터져서 조금 우울하기도 했는데,이제 쫌 이제 놀자 할려고 하던 시기에 그런 일이 터져서 쫌 우울하기도 했는데
그리고 우리는 술을 안 마셔도 조금 재밌게 잘 노니까,그리고 우리는 술을 안 마셔도 쫌 재밌게 잘 노니까
다음에 우리가 여행을 계획한다면 일단 당분간은 해외가 조금 힘들 테니까,다음에 우리가 여행을 계획한다면 일단 당분간은 해외가 쫌 힘들 테니까
국내 여행이라도 그래도 최대한 조금 여행다운 여행을 기분,국내 여행이라도 그래도 최대한 쫌 여행다운 여행을 기분
제주도 여행 너랑 나랑 둘이서 간 적 있잖아?,제주도 여행 니랑 내랑 둘이서 간 적 있잖아?
또 제주도는 너랑 나랑 둘이서만 갔다 와서 다른 애들,또 제주도는 니랑 내랑 둘이서만 갔다 와서 다른 애들
그런데 너는 어디 국내든지 아니면 그냥,그런데 니는 어디 국내든지 아니면 그냥
약간 약간 내가 미지의 세계 이런 데를 좀 좋아하잖아 그런 걸 좋아하니까 조금 약간 남들 안 가는 곳에도 가고 싶고,약간 약간 내가 미지의 세계 이런 데를 좀 좋아하잖아 그런 걸 좋아하니까 쫌 약간 남들 안 가는 곳에도 가고 싶고
내 나이가 들수록 진짜 조금 바뀌는 게,내 나이가 들수록 진짜 쫌 바뀌는 게
옛날에는 진짜 너무 뭐라고 하지 계획을 진짜 빡빡하게 짜서,옛날에는 진짜 너무 뭐라카지 계획을 진짜 빡빡하게 짜서
계획한 대로 안 되면 짜증이 나는 거야 아 이거 빨리 여기로 가야 되는데 왜 뭐 하고 있어 그러면서,계획한 대로 안 되면 짜증이 나는 거야 아 이거 빨리 여기로 가야 되는데 왜 뭐 하고 있노 카면서
막 그렇게 계속 이렇게 빡빡하게 하다가,막 그렇게 계속 이케 빡빡하게 하다가
유기적으로 융통성 있게 움직인다 그래야 되나?,유기적으로 융통성 있게 움직인다 케야 되나?
뭐 이 관광 명소가 뭔가 조금 별로라고 생각하면 그냥 딴 데 가면 되는 거고,뭐 이 관광 명소가 뭔가 쫌 별로라고 생각하면 그냥 딴 데 가면 되는 거고
다녀온 후에 그 여운이 길게 남는다 그래야 되나?,다녀온 후에 그 여운이 길게 남는다 케야 되나?
그러니까 많은 걸 복 봤고 캐 그 내가,긍까 많은 걸 복 봤고 캐 그 내가
요즘에 여행 가면 그만큼의 여운이 길게 남진 않는다 그래야 되나?,요즘에 여행 가면 그만큼의 여운이 길게 남진 않는다 케야 되나?
최근에 나는 그리고 여행을 너무 이제 가고 싶은데 해외여행을 못 가니까 국내라도 조금 다녀 올라고,최근에 나는 그리고 여행을 너무 이제 가고 싶은데 해외여행을 못 가니까 국내라도 쫌 다녀 올라고
왜냐면 이 남부 지방 쪽은 조금 음식이 대체로 젓갈도 많고 짠데,왜냐면 이 남부 지방 쪽은 쫌 음식이 대체로 젓갈도 많고 짠데
강릉 쪽 가니까 거기는 진짜 음식이 다 간이 밍밍하더라고 나만 느낀 게 아니라 내 친구들도,강릉 쪽 가니까 거기는 진짜 음식이 다 간이 밍밍하더라고 내만 느낀 게 아니라 내 친구들도
조금 그나마 싱겁게 먹는 애가 어 나는 딱 맞던데 이러던데 나는 조금 짜게 먹는 편이라선지,쫌 그나마 싱겁게 먹는 애가 어 나는 딱 맞던데 이러던데 나는 쫌 짜게 먹는 편이라선지
음 많이 싱겁다는 생각을 했고 뭐 맛이 있긴 있는데 대체적으로 간이 조금 약하다는 생각을 했어,음 많이 싱겁다는 생각을 했고 뭐 맛이 있긴 있는데 대체적으로 간이 쫌 약하다는 생각을 했어
좋더라고 그냥 요새 맨날 그냥 집에만 있고 그러니까 이제 여행도 못 가고,좋더라고 그냥 요새 맨날 그냥 집에만 있고 카니까 이제 여행도 못 가고
우리끼리 그냥 영화만 보고 그래도 재밌고 진짜 좋은데,우리끼리 그냥 영화만 보고 케도 재밌고 진짜 좋은데
뭔가 나이 더 들기 전에 조금 더,뭔가 나이 더 들기 전에 쫌 더
나는 제주도도 네가 말한 대로 한 번 같이 다 같이 가 보고 싶고,나는 제주도도 니가 말한 대로 한 번 같이 다 같이 가 보고 싶고
우리 중에는 근데 다 여행을 좋아하긴 하는데 나랑 가 특히 조금 여행에 약간 집착하는 면이 있고,우리 중에는 근데 다 여행을 좋아하긴 하는데 내랑 가 특히 쫌 여행에 약간 집착하는 면이 있고
뭐 너랑 은 뭐 가면 좋은 거긴 한데 뭐 어디 가도 상관없다 뭐 약간 이런 느낌이긴 한데,뭐 니랑 은 뭐 가면 좋은 거긴 한데 뭐 어디 가도 상관없다 뭐 약간 이런 느낌이긴 한데
제주도는 뭐 지금도 가려고 하면 만,제주도는 뭐 지금도 갈라카면 만
음 그리고 만약에 그 우리가 최근에 그러고 경주를 갔다 왔잖아?,음 그리고 만약에 그 우리가 최근에 그카고 경주를 갔다 왔잖아?
뭐 경주에서 많은 거 보고 먹고 했었는데 너는 경주에 갔을 때 제일 기억에 남는 그런 에피소드 같은 거 있어?,뭐 경주에서 많은 거 보고 먹고 했었는데 니는 경주에 갔을 때 제일 기억에 남는 그런 에피소드 같은 거 있나?
조금 바쁘게 움직였던 그게 조금 아쉬웠고 그래서,쫌 바쁘게 움직였던 그게 쫌 아쉬웠고 그래서
사람이 조금 적었잖아 우리 예전에 몇 년 전에도 전주에 갔을 때,사람이 쫌 쩍었잖아 우리 예전에 몇 년 전에도 전주에 갔을 때
거의 많이 없었어서 그때도 조금 편하게 여행을 했던 거 같은데,거의 많이 없었어서 그때도 쫌 편하게 여행을 했던 거 같은데
요번에도 사람이 일단 조금,요번에도 사람이 일단 쫌
평소보다 적어서 좋았고 어 일단 제일 기억에 남는 건 우리가 그래도,평소보다 쩍어서 좋았고 어 일단 제일 기억에 남는 건 우리가 그래도
조금 계획을 나이가 들고 계획을 덜 짜고 융통성 있게 다닌다 해도 그래도 일단 초반에 계획을 짰던 게 있잖아,쫌 계획을 나이가 들고 계획을 덜 짜고 융통성 있게 다닌다 해도 그래도 일단 초반에 계획을 짰던 게 있잖아
근데 어 추석 연휴라서 사람이 없는 건 좋았지만 조금 생각지 못 하게 문을 안 열어서 우리가,근데 어 추석 연휴라서 사람이 없는 건 좋았지만 쫌 생각지 못 하게 문을 안 열어서 우리가
그런 에피소드가 있으면 그 당시에는 조금 짜증이 나고 배고프고 막 그런데 힘들고 그런데,그런 에피소드가 있으면 그 당시에는 쫌 짜증이 나고 배고프고 막 그런데 힘들고 그런데
걷고 택시 타고 이랬던 게 조금 기억에 남고,걷고 택시 타고 이랬던 게 쫌 기억에 남고
그게 조금 좋았던 거 같고 어 밤에,그게 쫌 좋았던 거 같고 어 밤에
그걸 제대로 못 즐겼던 게 조금 아쉬움으로 남고 그래서 우리,그걸 제대로 못 즐겼던 게 쫌 아쉬움으로 남고 그래서 우리
다음에는 겨울에 겨울 아니면 다른 계절이라도 언제든지 사람 조금 적을 거 같은 날 골라서,다음에는 겨울에 겨울 아니면 다른 계절이라도 언제든지 사람 쫌 쩍을 거 같은 날 골라서
그런데 경주에서 너는 뭐가 제일 좋았어?,그런데 경주에서 니는 뭐가 제일 좋았어?
뭔가 뭐라고 하지 그 당시에는 힘들었던 일들이 나중에는 약간 추억이 미화돼 갖고 재밌었던 일로 기억에 남더라고,뭔가 뭐라카지 그 당시에는 힘들었던 일들이 나중에는 약간 추억이 미화돼 갖고 재밌었던 일로 기억에 남더라고
우리는 입고 싶지도 않은데 우리는 그래서 결국 안 입었잖아 보통 가면 세 명 다 같이 입거나 다 같이 안 입거나 그러는데 우리는 약간,우리는 입고 싶지도 않은데 우리는 그래서 결국 안 입었잖아 보통 가면 세 명 다 같이 입거나 다 같이 안 입거나 카는데 우리는 약간
너랑 난 안 입었고 는 입었는데 가 그때 약간 화장실이 급해 갖고 막,니랑 난 안 입었고 는 입었는데 가 그때 약간 화장실이 급해 갖고 막
뭔가 약간 우리 조금 기괴하고 약간,뭔가 약간 우리 쫌 기괴하고 약간
뭐 여름 여행을 솔직히 내가 그렇게 좋아하진 않아 가지고 조금 피하고 싶지만 겨울 여행 가면 재밌는 게 많으니까 가고 싶고,뭐 여름 여행을 솔직히 내가 그렇게 좋아하진 않아 가지고 쫌 피하고 싶지만 겨울 여행 가면 재밌는 게 많으니까 가고 싶고
뭐 뭐 그렇게 거창하게 생각 안 해도 지금 당장이라도 뭐 우리 어디 갈래 그래 가지고 뭐 갈라면 갈 수 있다고 생각하고,뭐 뭐 그렇게 거창하게 생각 안 해도 지금 당장이라도 뭐 우리 어디 갈래 케 가지고 뭐 갈라면 갈 수 있다고 생각하고
이제 뭐 도 운전도 할 수 있고 그러니까,이제 뭐 도 운전도 할 수 있고 카니까
네가 아까 말한 대로 돈은 여전히 없긴 하지만 그래도 그 스무 살 초반에 비해서 씀씀이는 조금 달라졌잖아 그래서,니가 아까 말한 대로 돈은 여전히 없긴 하지만 그래도 그 스무 살 초반에 비해서 씀씀이는 쫌 달라졌잖아 케서
약간 조금 더 편한 여행을 추구하게 되긴 했는데 그래도,약간 쫌 더 편한 여행을 추구하게 되긴 했는데 그래도
목소리가 커 갖고 그것 때문에 조금,목소리가 커 갖고 그것 때문에 쫌
지적받고 약간 그 과정에서 그런 일이 많은데 그런 거를 조금,지적받고 약간 그 과정에서 그런 일이 많은데 그런 거를 쫌
하여튼 어딜 가든 조금 즐겁게,하여튼 어딜 가든 쫌 즐겁게
음 여행을 앞으로도 계속 갔으면 좋겠다 그러고,음 여행을 앞으로도 계속 갔으면 좋겠다 카고
우리끼리 호캉스 같은 것도 가도 재밌을 거 같더라고 그러니까 뭐,우리끼리 호캉스 같은 것도 가도 재밌을 거 같더라고 그니까 뭐
에어비앤비뿐만이 아니라 조금 더 업그레이드 해 갖고,에어비앤비뿐만이 아니라 쫌 더 업그레이드 해 갖고
고기 구워 먹고 라면 끓여 먹고 이런 게 엄청 재밌었잖아?,고기 꾸워 먹고 라면 끓여 먹고 이런 게 엄청 재밌었잖아?
잠 많은 애는 또 잠들긴 하지만 우리가 너랑 나랑 특히,잠 많은 애는 또 잠들긴 하지만 우리가 니랑 내랑 특히
그런 데서 안 잘려고 집착하는 게 조금 있잖아 그래서,그런 데서 안 잘려고 집착하는 게 쫌 있잖아 그래서
그랬는데 우린 여행 갈 때마다 그런 게 조금 재밌는 거 같고,그랬는데 우린 여행 갈 때마다 그런 게 쫌 재밌는 거 같고
그래도 네가 없었으면 다 잠들었으면 난 조금 슬펐을 거 같은데 너는 무조건 안 자니까 그게 난 조금,그래도 니가 없었으면 다 잠들었으면 난 쫌 슬펐을 거 같은데 니는 무조건 안 자니까 그게 난 쫌
돈을 조금 모아서 호캉스 다음에 꼭 가면 좋겠고,돈을 쫌 모아서 호캉스 다음에 꼭 가면 좋겠고
다음에 호캉스도 꼭 한 번 갔으면 좋겠다 너는 언제,다음에 호캉스도 꼭 한 번 갔으면 좋겠다 니는 언제
그거 준비한다고 요즘 운동을 조금 하고 있습니다,그거 준비한다고 요즘 운동을 쫌 하고 있습니다
도 조금 스포츠 같은 걸 직접 하는 걸 좋아하신다고 하셨는데 은 어떤 종목을 좋아하세요?,도 쫌 스포츠 같은 걸 직접 하는 걸 좋아하신다고 하셨는데 은 어떤 종목을 좋아하세요?
막 그랬고 조금 직접적으로 몸으로 하는 거 좋아해요,막 그랬고 쫌 직접적으로 몸으로 하는 거 좋아해요
저는 복싱을 가장 제일 오래 해서 그런지 복싱이 제일 재밌고,저는 복싱을 가장 젤 오래 해서 그런지 복싱이 제일 재밌고
요즘 코로나 때문에,요즘 코로나 땜에
그러면 운동 말고도 뭐 스포츠 레저 뭐 이렇게 여름에,그면 운동 말고도 뭐 스포츠 레저 뭐 이케 여름에
식물성 단백질 같은 것도 조금 바꿔서 먹어보기도 하고,식물성 단백질 같은 것도 쫌 바꿔서 먹어보기도 하고
챙겨 먹는 거까지 운동의 끝이라고 생각하기 때문에,챙겨 먹는 거까지 운동의 끝이라고 생각하기 땜에
조금 활동적인 걸 좋아하는 스타일이여서,쫌 활동적인 걸 좋아하는 스타일이여서
네 저도 이제 유튜브에서 운동 가르쳐 주는 유튜버들이 많아져서 저도,네 저도 이제 유튜브에서 운동 갈켜 주는 유튜버들이 많아져서 저도
조금 상황 봐서 내년부터 다시 헬스장을 갈까?,쫌 상황 봐서 내년부터 다시 헬스장을 갈까?
그랬는 거 같애요 은 그러면 누구 응원하셨어요?,그랬는 거 같애요 은 그면 누구 응원하셨어요?
자기들도 조금 못 보여준 거에 대해서 생각하지도 않을까 그런 생각도 듭니다,자기들도 쫌 못 보여준 거에 대해서 생각하지도 않을까 그런 생각도 듭니다
코로나가 심해가지고 집에만 거의 있지 않니,코로나가 심해가지고 집에만 거의 있는다 아이가
근데 너랑 영화 안 본 지 너무 오래됐단 말이야,근데 니랑 영화 안 본 지 너무 오래됐단 말이야
그러면 요즘에 이런 거 말고 너는 주로 집에 있으면 어떤 영화 장르를 보고 어떤 영화를 좋아하는데?,그러면 요즘에 이런 거 말고 니는 주로 집에 있으면 어떤 영화 장르를 보고 어떤 영화를 좋아하는데?
너 킹스맨 봤음?,니 킹스맨 봤음?
야 그거 당연히 봤지 일편 개봉했을 때부터 얼마나 유명했는지 알아?,야 그거 당연히 봤지 일편 개봉했을 때부터 얼마나 유명했는지 아나?
그거 노래 진짜 신나는 거 나오지 않니 마지막쯤에 나 그거가 진짜 인상 깊더라,그거 노래 진짜 신나는 거 나온다 아이가 마지막쯤에 나 그거가 진짜 인상 깊더라
안 맞을 거라고 생각했는데 그런 영화 장르도 괜찮다는 걸 네가 말한 영화를 보고 보면서 느꼈었다 그때,안 맞을 거라고 생각했는데 그런 영화 장르도 괜찮다는 걸 니가 말한 영화를 보고 보면서 느꼈었다 그때
다행히 그게 청소년 관람 불가지 않았니 근데 우리가 볼 수 있었던 게 난 너무 행복했다,다행히 그게 청소년 관람불가였다 아이가 근데 우리가 볼 수 있었던 게 난 너무 행복했다
어 그런 것도 있었지 그러면은 그럼 너는 그거,어 그런 것도 있었지 그러면은 그럼 니는 그거
나는 노래에 나온 그런 영화 장르를 엄청 좋아한단 말이야 그래서 나 내가 너한테 한번 추천해줬었던 거 같은데 기억나나?,나는 노래에 나온 그런 영화 장르를 엄청 좋아한단 말이야 그래서 나 내가 니한테 한번 추천해줬었던 거 같은데 기억나나?
사실 기억도 안 나긴 하는데 네가 해준 거 난 안 본 거 같다,사실 기억도 안 나긴 하는데 니가 해준 거 난 안 본 거 같다
왜냐하면 나는 네가 말한 영화 장르들을 좋아하지 않는다,왜냐하면 나는 니가 말한 영화 장르들을 좋아하지 않는다
억지로 막 눈 가리는 친구들 데려가가지고 막 보고 이랬는데 사실 조금 미안하기는 했어,억지로 막 눈 가리는 친구들 데려가가지고 막 보고 이랬는데 사실 쫌 미안하기는 했어
그러는 거야 이 그 반응 구경도 너무 웃겼다 나는 그래서,그라는 거야 이 그 반응 구경도 너무 웃겼다 나는 그래서
공포 영화가 좋더라 너는 공포 영화 나랑 같이 볼 수 있나?,공포 영화가 좋더라 니는 공포 영화 내랑 같이 볼 수 있나?
나는 너랑 가면 볼 수는 있는데 내 팝콘 들고 나한테 팝콘 들으라 하지 마라,나는 니랑 가면 볼 수는 있는데 내 팝콘 들고 내한테 팝콘 들으라 하지마라이
그러니까 그런 건 조금 조심하고 네가 보자 하면 보는데,그니까 그런 건 쫌 조심하고 니가 보자 카면 보는데
그래서 영화 값을 날릴 거 같긴 한데 뭐 네가 보자고 하면 보겠지?,그래서 영화 값을 날릴 거 같긴 한데 뭐 니가 보자고 하면 보겠지?
액션처럼 활동적인 영화는 그냥 뭐 힐링 타임을 하는 거니까 그냥,액션처럼 활동적인 영화는 그냥 뭐 힐링 타임을 하는 거니까 그양
그래서 조금 슬픈 영화를 봤는데 배우들이 연기를 너무 잘하더라고 그래서,그래서 쫌 슬픈 영화를 봤는데 배우들이 연기를 너무 잘하더라고 그래서
그게 조금 우리 한국 사람들의 감정 포인트를 이렇게 찔러주는 그런,그게 쫌 우리 한국 사람들의 감정 포인트를 이케 찔러주는 그런
영화여서 평점도 구 점대인가 그렇더라고 어 너는 안 본 거 같은데,영화여서 평점도 구 점대인가 그렇더라고 어 니는 안 본 거 같은데
세 얘기를 하다 보니 떠오르는 게 사실 우리 여자애들이 또 하이틴 로맨스 환장하지 않니,세 얘기를 하다 보니 떠오르는 게 사실 우리 여자애들이 또 하이틴 로맨스 환장한다 아이가
너는 좋아하는 하이틴 영화가 있나 혹시?,니는 좋아하는 하이틴 영화가 있나 혹시?
막 네가 좋아하는 막 장르는 막 무서운 영화 이런 거는,막 니가 좋아하는 막 장르는 막 무서운 영화 이런 거는
조금 기억에도 오래 안 남고 잔잔한 여운이 있었으면 좋겠는데,쫌 기억에도 오래 안 남고 잔잔한 여운이 있었으면 좋겠는데
나는 그런 거랑 감성이 조금 안 맞더라고 그래서 나는 무서운 건 잘 못 보겠더라 막 살인하고 이런 거 때문에 그래서 막,나는 그런 거랑 감성이 쫌 안 맞더라고 그래서 나는 무서운 건 잘 못 보겠더라 막 살인하고 이런 거 때문에 그래서 막
그래서 나는 무서운 영화 별로 안 좋아한다 그래서 네가 보러 가자고 하면 보겠지만,그래서 나는 무서운 영화 별로 안 좋아한다 그래서 니가 보러 가자고 하면 보겠지만
그러면 너는 영화제 같은 거 가본 적은 있나?,그면 니는 영화제 같은 거 가본 적은 있나?
연예인 보는 게 되게 재밌었던 거 같애 어린 마음에 너는 영화제 가서 뭐 했는데?,연예인 보는 게 되게 재밌었던 거 같애 어린 마음에 니는 영화제 가서 뭐 했는데?
나는 최근에는 코로나 때문에 영화제 안 열어서 못 갔고 작년에 내가 내 친구랑 갔었거든?,나는 최근에는 코로나 땜에 영화제 안 열어서 못 갔고 작년에 내가 내 친구랑 갔었거든?
거기서 영화 보면 진짜 기막히겠더라 그래서 다음에 남자친구 생기면,거기서 영화 보면 진짜 기깔나겠더라 그래서 다음에 남자친구 생기면
어 조금 그런 게 난 또 이제 내가,어 쫌 그런 게 난 또 이제 내가
너는 한 번에 몰아볼 수 있어?,니는 한 번에 몰아볼 수 있더나?
조금 힘들지 않을까 하는 생각인데,쫌 힘들지 않을까 하는 생각인데
음 너는 어떤데?,음 니는 어떤데?
너 알지 마블이나 이런 영화들,니 알제 마블이나 이런 영화들
너는 개봉하면은 그 그 시리즈도 좋아하고 혹시 보러 갈 생각이 있어?,니는 개봉하면은 그 그 시리즈도 좋아하고 혹시 보러 갈 생각이 있나?
야 너 진짜 친구로서 바이다 난 너보고 같이 보러 가자 할랬는데 너는 거기서 남자친구 얘기하나?,야 니 진짜 친구로서 바이다 난 니보고 같이 보러 가자 할랬는데 니는 거기서 남자친구 얘기하나?
고 마블 영화 보러 가 보러 가게 되면은 너 그때까지 남자친구 없으면 나랑 꼭 보러 가야 된다,고 마블 영화 보러 가 보러 가게 되면은 니 그때까지 남자친구 없으면 내랑 꼭 보러 가야 된디
그리고 댄스 영화 나도 좋아한다 옛날에,그리고 댄스 영화 내도 좋아한다 옛날에
춤도 추고 그랬었어가지구 엄청 재밌더라고 근데 네가 이걸 좋아하는 건 난 지금 처음 알았네,춤도 추고 그랬었어가지구 엄청 재밌더라고 근데 니가 이걸 좋아하는 건 난 지금 처음 알았네
처음 알아서 다음에 꼭 너랑,처음 알아서 다음에 꼭 니랑
그 장르 영화 개봉하면 또 난 이거 보러 가고 싶은데 너는 아닌가 보네?,그 장르 영화 개봉하면 또 난 이거 보러 가고 싶은데 니는 아인가 보네?
평소에도 많이 했으면 좋겠다 나는 너랑 영화를 얘기를,평소에도 많이 했으면 좋겠다 나는 니랑 영화를 얘기를
오늘 집에 가서 또 보고 싶은 영화 장르는 따로 있어?,오늘 집에 가서 또 보고 싶은 영화 장르는 따로 있나?
그래서 너도 한번 봤으면 좋겠는데 너는 집에 가서 뭐 보고 싶은 거 있나?,그래서 니도 한번 봤으면 좋겠는데 니는 집에 가서 뭐 보고 싶은 거 있나?
너는 개인적으로 포디가 제일 쉬 생동감 넘치는 영화는 좋아하나?,니는 개인적으로 포디가 제일 쉬 생동감 넘치는 영화는 좋아하나?
투디로 봤을 때 네가 애니메이션 얘기를 하니까 생각이 난 건데 겨울왕국을 엄청 재밌게 봤어,투디로 봤을 때 니가 애니메이션 얘기를 하니까 생각이 난 건데 겨울왕국을 엄청 재밌게 봤어
그래서 겨울왕국은 재밌게 봤는데 다른 거는 딱히 보지를 못한 거 같네?,그래서 겨울왕국은 재밌게 봤는데 따른 거는 딱히 보지를 못한 거 같네?
네가 갑자기 그렇게 얘기를 하니까 갑자기 생각이 나네 내가 봤던 영화가,니가 갑자기 그렇게 얘기를 하니까 갑자기 생각이 나네 내가 봤던 영화가
그러면 너는 어 만약에 남자친구 생겼다,그러면 니는 어 만약에 남자친구 생겼다
어 만약에 너는 나 또 궁금한 게 있는데 영화 외국 영화 있잖아,어 만약에 니는 나 또 궁금한 게 있는데 영화 외국 영화 있잖아
더빙은 조금 어색하지 않나?,더빙은 쫌 어색하지 않나?
겨울왕국도 네가 더빙을 봤는진 잘 모르겠는데,겨울왕국도 니가 더빙을 봤는진 잘 모르겠는데
명대사가 있는데 너 더빙으로 이거 혹시 본 적 있어?,명대사가 있는데 니 더빙으로 이거 혹시 본 적 있어?
이 내가 왜 물어봤냐면 나중에 네가 그 영화를 좋아한다면 봤으면 좋겠어서 얘기를 하는 건데,이 내가 왜 물어봤냐면 나중에 니가 그 영화를 좋아한다면 봤으면 좋겠어서 얘기를 하는 건데
그래 나는 더빙은 생각은 안 해봤는데,맞나 나는 더빙은 생각은 안 해봤는데
네가 그렇게 추천을 하니까 한 번쯤은 봐보고 싶은데,니가 그렇게 추천을 하니까 한 번쯤은 봐보고 싶은데
그게 진짜 좋던데 혹시 너는 부산에서 좋아하는 영화관 따로 있어?,그게 진짜 좋던데 혹시 니는 부산에서 좋아하는 영화관 따로 있나?
너는 동생이 둘이나 되잖아,니는 동생이 둘이나 되잖아
그거 케어하기 안 힘드니 나는,그거 케어하기 안 힘드나 나는
둘 다 남동생이지 않아?,둘 다 남동생이다 아이가?
자꾸 뭐만 하면 누나 놀아 달라고 뭐 해 달라고 이러는데 그냥 아 알겠어 알겠어 이러고 안 놀아  준단 말이야,자꾸 뭐만 하면 누나 놀아 달라고 뭐 해 달라고 이러는데 걍 아 알겠어 알겠어 이러고 안 놀아  준단 말이야
그냥 자기 할 거 하고 근데 이가 또 요즘 요리를 좋아하더라고 그래가주구,그냥 지 할 거 하고 근데 이가 또 요즘 요리를 좋아하더라고 그래가주구
동생 케어하는 거 어릴 때는 힘들었어 이도 조금 어릴 때는 힘들었는데,동생 케어하는 거 어릴 때는 힘들었어 이도 쫌 어릴 때는 힘들었는데
그나마 놀아 주기는 괜찮던데 너는 가  가끔 만나도 놀아 주기 조금 힘들었어?,그나마 놀아 주기는 괜찮던데 니는 가  가끔 만나도 놀아 주기 쫌 힘들드나?
어렸을 때는 인제 나도 중학교 고등학교 인제 학원에서 힘들게 공부하고,어렸을 때는 인제 나도 중학교 고등학교 인제 학원에서 쎄빠지게 공부하고
그러고 집에 왔는데 애들이 놀아 달라 하니까,그러고 집에 왔는데 애들이 놀아 달라 카니까
지금은 조금 괜찮은 거 같다,지금은 쫌 괜찮은 거 같다
